"V1" "V2"
"168" "Empedobacter" 1
"169" "Microbispora" 1
"170" "Chthoniobacter" 1
"172" "Cryobacterium" 1
"174" "Viridibacillus" 1
"175" "Teredinibacter" 1
"177" "Oscillochloris" 1
"178" "Nodosilinea" 1
"179" "Desulfovermiculus" 1
"183" "Planctopirus" 1
"184" "Mesonia" 1
"186" "Coleofasciculus" 1
"188" "Neptuniibacter" 1
"190" "Sediminibacterium" 1
"198" "Sulfuricella" 1
"201" "Desulfospira" 1
"203" "Abiotrophia" 1
"204" "Methylibium" 1
"205" "Atopococcus" 1
"207" "Saccharospirillum" 1
"210" "Curvibacter" 1
"212" "Orenia" 1
"213" "Desulfarculus" 1
"215" "Denitrovibrio" 1
"217" "Blastococcus" 1
"220" "Chondromyces" 1
"223" "Thermacetogenium" 1
"224" "Methanosalsum" 1
"225" "Coriobacterium" 1
"227" "Marinimicrobium" 1
"230" "Solibacillus" 1
"231" "Rubinisphaera" 1
"232" "Algiphilus" 1
"233" "Flavonifractor" 1
"235" "Morganella" 1
"237" "Anaerolinea" 1
"245" "Caldisphaera" 1
"247" "Cecembia" 1
"248" "Tolumonas" 1
"249" "Silanimonas" 1
"250" "Azovibrio" 1
"252" "Novispirillum" 1
"253" "Amycolicicoccus" 1
"254" "Nitrosopumilus" 1
"255" "Gemmobacter" 1
"259" "Paenirhodobacter" 1
"263" "Simonsiella" 1
"267" "Verrucomicrobium" 1
"268" "Cenarchaeum" 1
"269" "Methylovulum" 1
"271" "Desulfovirgula" 1
"272" "Kyrpidia" 1
"273" "Oceanibulbus" 1
"275" "Thermithiobacillus" 1
"280" "Chitinibacter" 1
"281" "Sciscionella" 1
"283" "Thermobacillus" 1
"284" "Modestobacter" 1
"287" "Vagococcus" 1
"290" "Bulleidia" 1
"291" "Desulfurispirillum" 1
"292" "Turicella" 1
"293" "Maritimibacter" 1
"295" "Inquilinus" 1
"296" "Woodsholea" 1
"297" "Hamadaea" 1
"299" "Thalassobium" 1
"300" "Fibrobacter" 1
"301" "Mangrovimonas" 1
"302" "Chlorogloeopsis" 1
"303" "Tyzzerella" 1
"304" "Alkalibacillus" 1
"306" "Glaciibacter" 1
"307" "Kozakia" 1
"308" "Natronobacterium" 1
"310" "Methanococcoides" 1
"311" "Pseudorhodobacter" 1
"312" "Diplosphaera" 1
"313" "Promicromonospora" 1
"315" "Zavarzinella" 1
"319" "Shuttleworthia" 1
"320" "Spirillospora" 1
"321" "Microlunatus" 1
"322" "Calditerrivibrio" 1
"323" "Pseudophaeobacter" 1
"326" "Kosmotoga" 1
"327" "Kutzneria" 1
"328" "Pluralibacter" 1
"330" "Raphidiopsis" 1
"331" "Gordonibacter" 1
"332" "Desulfomonile" 1
"334" "Methylomonas" 1
"335" "Pseudoramibacter" 1
"339" "Youngiibacter" 1
"341" "Sulfuricurvum" 1
"342" "Budvicia" 1
"343" "Succinispira" 1
"344" "Geoalkalibacter" 1
"345" "Halarchaeum" 1
"346" "Plesiocystis" 1
"347" "Nafulsella" 1
"348" "Varibaculum" 1
"349" "Hoeflea" 1
"350" "Epulopiscium" 1
"351" "Stappia" 1
"352" "Thermosediminibacter" 1
"354" "Acetivibrio" 1
"357" "Catonella" 1
"358" "Thiovulum" 1
"360" "Catenulispora" 1
"361" "Desulfuromonas" 1
"365" "Mucinivorans" 1
"366" "Terribacillus" 1
"367" "Kushneria" 1
"373" "Gracilimonas" 1
"374" "Lutibaculum" 1
"375" "Lonsdalea" 1
"377" "Halobacteroides" 1
"378" "Halogranum" 1
"382" "Syntrophorhabdus" 1
"383" "Lachnospira" 1
"384" "Petrotoga" 1
"385" "Pannonibacter" 1
"386" "Methyloceanibacter" 1
"389" "Pseudaminobacter" 1
"391" "Haliea" 1
"392" "Eudoraea" 1
"393" "Gemmatimonas" 1
"395" "Nodularia" 1
"396" "Gynuella" 1
"397" "Chromohalobacter" 1
"398" "Mastigocoleus" 1
"399" "Haliscomenobacter" 1
"400" "Salinarimonas" 1
"401" "Lacinutrix" 1
"402" "Thermoactinomyces" 1
"403" "Pseudodonghicola" 1
"405" "Ferroplasma" 1
"407" "Herminiimonas" 1
"408" "Anaerobiospirillum" 1
"409" "Methylocella" 1
"413" "Basilea" 1
"417" "Kamptonema" 1
"418" "Desulfonatronovibrio" 1
"419" "Succinatimonas" 1
"420" "Pyrolobus" 1
"421" "Microscilla" 1
"422" "Laceyella" 1
"423" "Spirulina" 1
"425" "Sporocytophaga" 1
"426" "Raoultella" 1
"428" "Catenuloplanes" 1
"429" "Tumebacillus" 1
"430" "Paraoerskovia" 1
"433" "Thermosinus" 1
"435" "Olleya" 1
"440" "Magnetospira" 1
"441" "Mesotoga" 1
"442" "Rubrivivax" 1
"443" "Crocinitomix" 1
"444" "Saccharibacter" 1
"446" "Methanohalophilus" 1
"448" "Dethiobacter" 1
"449" "Persephonella" 1
"450" "Thalassobacter" 1
"453" "Acidothermus" 1
"454" "Salinarchaeum" 1
"457" "Ornithinibacillus" 1
"462" "Thermobaculum" 1
"463" "Mahella" 1
"468" "Chamaesiphon" 1
"470" "Magnetococcus" 1
"471" "Rubritalea" 1
"472" "Sulfuritalea" 1
"473" "Caldithrix" 1
"474" "Phycisphaera" 1
"477" "Desulforegula" 1
"478" "Catenovulum" 1
"480" "Azonexus" 1
"481" "Fervidicella" 1
"483" "Thermomicrobium" 1
"485" "Fluoribacter" 1
"486" "Cloacibacillus" 1
"487" "Sneathiella" 1
"488" "Pelagibaca" 1
"490" "Methyloglobulus" 1
"493" "Solirubrobacter" 1
"494" "Spongiibacter" 1
"495" "Propionicicella" 1
"496" "Hellea" 1
"497" "Paraglaciecola" 1
"500" "Faecalitalea" 1
"501" "Carnimonas" 1
"503" "Smaragdicoccus" 1
"504" "Pseudobacteroides" 1
"505" "Senegalimassilia" 1
"506" "Geitlerinema" 1
"509" "Aurantimonas" 1
"512" "Mariniradius" 1
"515" "Oleispira" 1
"517" "Marichromatium" 1
"518" "Bibersteinia" 1
"521" "Pseudoduganella" 1
"524" "Kytococcus" 1
"526" "Adlercreutzia" 1
"528" "Timonella" 1
"530" "Halopiger" 1
"531" "Rubritepida" 1
"532" "Mitsuokella" 1
"535" "Leminorella" 1
"537" "Desulfatibacillum" 1
"538" "Halovivax" 1
"540" "Croceibacter" 1
"541" "Syntrophobotulus" 1
"543" "Buttiauxella" 1
"544" "Franconibacter" 1
"549" "Thiocystis" 1
"550" "Methanomethylovorans" 1
"551" "Nesiotobacter" 1
"554" "Terrimonas" 1
"559" "Zooshikella" 1
"561" "Fibrisoma" 1
"563" "Thioflavicoccus" 1
"566" "Halothiobacillus" 1
"569" "Diplorickettsia" 1
"570" "Bhargavaea" 1
"571" "Chrysiogenes" 1
"581" "Ilyobacter" 1
"582" "Anaerophaga" 1
"585" "Ramlibacter" 1
"587" "Agarivorans" 1
"588" "Thioploca" 1
"589" "Lentibacillus" 1
"593" "Desulfotignum" 1
"598" "Tistrella" 1
"599" "Caldilinea" 1
"601" "Desulfonatronospira" 1
"603" "Caminibacter" 1
"604" "Methanothermus" 1
"606" "Bizionia" 1
"607" "Holophaga" 1
"609" "Oceaniovalibus" 1
"612" "Jeotgalibacillus" 1
"615" "Sporichthya" 1
"616" "Algibacter" 1
"617" "Schlesneria" 1
"619" "Coraliomargarita" 1
"621" "Ignatzschineria" 1
"622" "Thermodesulfobium" 1
"624" "Proteiniclasticum" 1
"625" "Xenophilus" 1
"626" "Syntrophus" 1
"627" "Desulfurella" 1
"629" "Fructobacillus" 1
"632" "Ornithobacterium" 1
"633" "Defluviitoga" 1
"636" "Gulosibacter" 1
"637" "Stenoxybacter" 1
"638" "Chthonomonas" 1
"640" "Segetibacter" 1
"643" "Aquaspirillum" 1
"645" "Methylohalobius" 1
"650" "Thiorhodospira" 1
"652" "Imtechella" 1
"653" "Lautropia" 1
"656" "Snodgrassella" 1
"657" "Nanoarchaeum" 1
"659" "Succinimonas" 1
"661" "Ruania" 1
"662" "Kordiimonas" 1
"663" "Caldanaerobius" 1
"665" "Tuberibacillus" 1
"666" "Piscirickettsia" 1
"667" "Moorea" 1
"668" "Gimesia" 1
"670" "Thermincola" 1
"673" "Amphritea" 1
"674" "Solobacterium" 1
"675" "Kluyvera" 1
"676" "Sideroxydans" 1
"677" "Prosthecochloris" 1
"678" "Caldicoprobacter" 1
"685" "Gelidibacter" 1
"688" "Allokutzneria" 1
"689" "Zymobacter" 1
"691" "Trichodesmium" 1
"693" "Belnapia" 1
"696" "Desulfocurvus" 1
