NAD-SYN	NAD-BIOSYNTHESIS-III;PYRIDNUCSAL-PWY;NAD-BIOSYNTHESIS-II;PYRIDNUCSYN-PWY;PWY-5653;PWY-3502;NADSYN-PWY;PWY3O-4106
B12-Salvage-From-Cobinamide	PWY-6269;COBALSYN-PWY
Nitroaromatic-Degradation	PWY-7628;PWY-7044;PWY-7403
Nicotinate-Degradation	PWY-5055;PWY-5033;PWY-722
UDP-Nac-Galactosamine-Biosynthesis	PWY-5514;PWY-5512
HISTIDINE-DEG	HISHP-PWY;PWY-5030;HISTDEG-PWY;HISDEG-PWY;PWY-5028;PWY-5031
HISTIDINE-SYN	HISTSYN-PWY;PWY-5029
GLUTAMINE-SYN	GLNSYN-PWY;PWY-6549;PWY-5505
Chlorophyllide-a-Biosynthesis	PWY-7159;CHLOROPHYLL-SYN;PWY-5531
Salicylate-Biosynthesis	PWY-6406;PWY-6621;PWY-6762;PWY-981;PWY-6624;PWY-6623
Visual-Cycle	PWY-7041;PWY-6861;PWY-7042;PWY-7043
Thiazole-Biosynthesis	PWY-6892;PWY-6909;PWY-6891
LEUCINE-DEG	PWY-5076;LEU-DEG2-PWY;PWY-5075
2-Nirobenzoate-Degradation	PWY-5648;PWY-5647
Folate-Biosynthesis	PWY-2161;1CMET2-PWY;PWY-6613;PWY-6612;PWY-6614;FOLSYN-PWY;PWY-2161B;PWY-6543
Ubiquinone-Biosynthesis	PWY-7233;PWY-5856;PWY-5872;UBISYN-PWY;PWY-5870;PWY-6708;PWY-5873;PWY-5857;PWY-5855;PWY-7235;PWY-5871;PWY-7230;PWY3O-19
Guanosine-Nucleotides-Degradation	PWY-6607;PWY-6595;PWY-6606;PWY-6608
Methylthioadenosine-Degradation	PWY0-1391;PWY-6756;PWY-6754;PWY-6753
6-HM-Dihydropterin-PP-Biosynthesis	PWY-6797;PWY-6147;PWY-7539
Other-Amino-Acid-Biosynthesis	PWY-7275;PWY-7701;PWY-1186;PWY-6196;PWY-7648;PWY-5957;PWY-6936;PWY-7274;PWY-6395;HOMOSERSYN-PWY;PWY-7649;PWY-5344
Cyanide-Detoxification	ASPSYNII-PWY;PWY-7142
S-adenosyl-L-methionine-cycle	PWY-5041;PWY-6151
3-Chlorotoluene-Degradation	PWY-6103;PWY-6104
4-Nitrotoluene-Degradation	PWY-5644;P421-PWY
Choline-Degradation	P542-PWY;PWY-7494;PWY-3721;CHOLINE-BETAINE-ANA-PWY;PWY-7167
Menaquinone-Biosynthesis	PWY-5850;PWY-6263;PWY-5898;PWY-5899;PWY-5895;PWY-5844;PWY-5890;PWY-5897;PWY-5840;PWY-5891;PWY-5892;PWY-5839;MENAQUINONESYN-PWY;PWY-5896;PWY-5849;PWY-5845;PWY-5838
4-Hydroxybenzoate-Biosynthesis	PWY-5754;PWY-6435;PWY3O-1109;PWY-6431;PWY-5755
4-Aminobutyraye-Degradation	PWY-6537;4AMINOBUTMETAB-PWY;PWY-5022;GLUDEG-I-PWY;PWY-6536;PWY-6473;PWY-6535
B12-Biosynthesis-From-Cobyrinate-Diamide	PWY-5508;PWY-5509
UDP-NAc-Glucosamine-Biosynthesis	UDPNACETYLGALSYN-PWY;UDPNAGSYN-PWY
Pyrimidine-Base-Degradation	PWY-7209;PWY-6430
VALINE-BIOSYNTHESIS	VALSYN-PWY
SERINE-DEG	SERDEG-PWY
4-Toluenesulfonate-Degradation	TOLSULFDEG-PWY;PWY-5165
Pyrimid-Ribonucleot-De-Novo-Biosyn	PWY-7176;PWY-5686;PWY0-162
Hydroxyprolines-Degradation	HYDROXYPRODEG-PWY;PWY-5159;PWY-7515
Tetrahydrobiopterin-Biosynthesis	PWY-5663;PWY-6983;PWY-5664
Cobyrinate-diamide-Biosynthesis	PWY-7377;PWY-7376
ALANINE-SYN	PWY0-1021;PWY0-1061;ALANINE-VALINESYN-PWY;ALANINE-SYN2-PWY
Polyprenyl-Biosynthesis	PWY-5785;PWY-5122;POLYISOPRENSYN-PWY;PWY-5806;PWY-5807;PWY-6520;PWY-5783;PWY-5805;HEXPPSYN-PWY;PWY-6383;PWY-5817;PWY-5816;PWY-5893
Nitrobenzoate-Degradation	PWY-2381
Putrescine-Degradation	PWY0-1221;PWY-2;PWY-3;PWY-0;PUTDEG-PWY
All-Trans-Farnesyl-PP-Biosynthesis	PWY-6577;PWY-5123
Vitamin-B6-Biosynthesis	PWY0-845;PWY-7204;PYRIDOXSYN-PWY;PWY-6466;PLPSAL-PWY
Chlorobenzene-Degradation	PWY-6099;PWY-6091;PWY-6081;PWY-6083;PWY-6090;14DICHLORBENZDEG-PWY
Methylamine-Degradation	PWY-6965;PWY-6967
METHIONINE-DEG	PWY-5082;PWY-5328;PWY-701;METHIONINE-DEG1-PWY
PUR-NUC-SYN	PWY-6794
Putrescine-Biosynthesis	PWY-6305;PWY-40;PWY-46;PWY-43
Flavin-Biosynthesis	PWY-6167;RIBOSYN2-PWY;PWY-6168;PWY66-366
LEUCINE-SYN	LEUSYN-PWY
D-Amino-Acid-Degradation	PWY-6196;PWY0-1535;PWY-6422
Chlorophyll-A-Degradation	PWY-7164;PWY-6927;PWY-5098
Purine-Degradation	PWY0-1296;PWY-6353;PWY-7179;PWY-7179-1;PWY-5695;PWY-5044;PWY-5497;PWY-6019;P164-PWY
Chorismate-Biosynthesis	ARO-PWY;PWY-6163;PWY-6165
Glycine-Betaine-Degradation	PWY-3661-1;PWY-3661
Nitrophenol-Degradation	PWY-7627
Demethylmenaquinone-Biosynthesis	PWY-5851;PWY-5862
3-Dehydroquinate-Biosynthesis	PWY-6164;PWY-6160
Folate-Transformations	PWY-3841;PWY-2201
Adenosylcobalamin-Biosynthesis	PWY-6268
PHENYLALANINE-DEG	ANAPHENOXI-PWY;PHENYLALANINE-DEG1-PWY;PWY-7158;PWY-5079;PWY-6318
Thiamine-Biosynthesis	THISYN-PWY;PWY-6895;PWY-7369;PWY-7357;THISYNARA-PWY
CARN-DEG	PWY-7472;PWY-3641;PWY-7471;PWY-3602;CARNMET-PWY
Purine-Nucleotide-De-Novo-Biosynthesis	PWY-6126;PWY-7228;PWY-841;PWY-6125;PWY-7229;DENOVOPURINE2-PWY
IMP-Biosynthesis	PWY-6124;PWY-6123;PWY-7234
Dinitrotoluene-Degradation	PWY-5643;PWY-7681;PWY-5642
14-Dihydroxy-6-Naphthoate-Biosynthesis	PWY-7374;PWY-7371
Quinate-Degradation	QUINATEDEG-PWY;PWY-6416
Spermidine-Biosynthesis	BSUBPOLYAMSYN-PWY;PWY-6834;PWY-6559
p-Nitrophenol-Degradation	PWY-5488;PWY-5487
3-Chlorobenzoate-Degradation	PWY-6216;PWY-6088;PWY-6228
Chlorophyll-Biosynthesis	PWY-5526
ASPARTATE-SYN	GLUTDEG-PWY;ASPARTATESYN-PWY
Chlorocatechol-Degradation	PWY-6093;PWY-6087;PWY-6094;PWY-6084
De-Novo-Adenosylcobalamin-Biosynthesis	P381-PWY;PWY-5507
TRYPTOPHAN-DEG	TRYPDEG-PWY;TRYPTOPHAN-DEGRADATION-1;PWY-3181;PWY-6309;TRPKYNCAT-PWY;TRPIAACAT-PWY;PWY-3162;TRPCAT-PWY;PWY-6307;PWY-5655;PWY-5651;PWY-5081;PWY-6505
AIR-Biosynthesis	PWY-6277;PWY-6121;PWY-6122
Selenocysteine-Biosynthesis	PWY0-901;PWY-6281
LYSINE-SYN	PWY-2942;DAPLYSINESYN-PWY;PWY-5097;PWY-2941;PWY-3081;LYSINE-AMINOAD-PWY
MANDELATE-DEG	PWY-6957;PWY-1501
Plastoquinone-Biosynthesis	PWY-6978;PWY-5864;PWY-1581
Ammonia-Assimilation	GLNSYN-PWY;PWY-6963;PWY-6964;PWY-3282;AMMASSIM-PWY
Pyrimidine-Ribonucleosides-Degradation	PWY0-1295;PWY-7195;PWY-6556;PWY-7209
Pantothenate-Biosynthesis	PANTO-PWY;PWY-3961;PWY-6654
Catechol-Degradation	P183-PWY;PWY-5417;PWY-5415;PWY-5431;PWY-5420;CATECHOL-ORTHO-CLEAVAGE-PWY;PWY-5419
SERINE-BIOSYNTHESIS	SERSYN-PWY
LYSINE-DEG	PWY-6328;P163-PWY;PWY-5283;PWY-5280;PWY66-425;LYSINE-DEG1-PWY;PWY-5327;PWY-5311;PWY-5324;PWY-5314;LYSDEGII-PWY;PWY-5298;PWY0-461
Porphyrin-Compounds-Biosynthesis	PWY-5194;PWY-5297
GLYCINE-SYN	GLYSYN-THR-PWY;GLYCINE-SYN2-PWY;GLYSYN-PWY;GLYSYN-ALA-PWY
Acid-Resistance	PWY0-1305;PWY0-1299;PWY-7685
Shikimate-Degradation	PWY-6419;SHIKIMATEDEG-PWY
Heme-Degradation	PWY-5874
Pyrimidine-Nucleotide-Salvage	PWY-7199;PWY-7208;PWY-7195;PWY-7183;PWY-7194;PWY-7210;PWY-7196;PWY-7205;PWY-7200;PWY-6556;PWY-7193;PWY-7197
HOMOCYSTEINE-DEG	HOMOCYSDEGR-PWY
TRYPTOPHAN-BIOSYNTHESIS	TRPSYN-PWY;PWY-6629
